id,track,release_date,duration_sec,spotify_url,name,description
4mS4sjzeN9CErnXa4a6sse,1,2020-04-17,5348.127,https://open.spotify.com/episode/4mS4sjzeN9CErnXa4a6sse,MAI THI NGUYEN-KIM (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt ab jetzt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Chemikerin, Wissenschaftsjournalistin und YouTuberin Mai Thi Nguyen-Kim. "
5Fn1nq18i1FDszX8Svt0Rq,2,2020-04-24,4317.623,https://open.spotify.com/episode/5Fn1nq18i1FDszX8Svt0Rq,MATS HUMMELS (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Fußball-Weltmeister und Spieler von Borussia Dortmund Mats Hummels."
1Fo1syQZc61L1KNGtEpNCJ,3,2020-05-01,5495.118,https://open.spotify.com/episode/1Fo1syQZc61L1KNGtEpNCJ,SIMON BÖHNLEIN (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Social Entrepreneur und Geschäftsführer von GoodBuy Simon Böhnlein. "
6KOoIQfExicyCVVZJHKSzX,4,2020-05-08,3995.611,https://open.spotify.com/episode/6KOoIQfExicyCVVZJHKSzX,JUJU (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Rapperin Juju. "
0bnUbX1qZ3jP9SDSXIVAhx,5,2020-05-15,4744.124,https://open.spotify.com/episode/0bnUbX1qZ3jP9SDSXIVAhx,CHRISTIAN ULMEN (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Regisseur, Schauspieler, Moderator & Humor-Chef Christian Ulmen. "
2g2WNcPnnLikAmliNGBYgV,6,2020-05-22,5036.121,https://open.spotify.com/episode/2g2WNcPnnLikAmliNGBYgV,LINDA ZERVAKIS (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Tagesschausprecherin und Moderatorin Linda Zervakis."
0XeT9ulNqscTwCfPSVdK7Y,7,2020-10-09,4081.11,https://open.spotify.com/episode/0XeT9ulNqscTwCfPSVdK7Y,RIN (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Rapper RIN."
5ETygU0iaKqrBRpQsl5aGH,8,2020-10-16,4029.623,https://open.spotify.com/episode/5ETygU0iaKqrBRpQsl5aGH,SARA NURU (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Top Model Gewinnerin, Model und Social Entrepreneurin Sara Nuru."
7KZHTYHfUqtyJQ0VTxAXlU,9,2020-10-23,4960.627,https://open.spotify.com/episode/7KZHTYHfUqtyJQ0VTxAXlU,RAUL KRAUTHAUSEN (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Aktivist Raul Krauthausen."
2BMk5tZtrYCmRPtWeMcJwD,10,2020-10-30,4502.857,https://open.spotify.com/episode/2BMk5tZtrYCmRPtWeMcJwD,$ICK (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Autor $ick (Shore, Stein, Papier)."
2qCyfaR131IEH8jn70CE1R,11,2020-11-06,4393.091,https://open.spotify.com/episode/2qCyfaR131IEH8jn70CE1R,LUISA NEUBAUER (5 SCHNELLE FRAGEN AN) ,"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Klimaaktivistin und Co-Organisatorin von Fridays for Future Luisa Neubauer."
4s13hiJyaMrKLJZPdjH3rD,12,2020-11-13,5152.731,https://open.spotify.com/episode/4s13hiJyaMrKLJZPdjH3rD,HASSAN AKKOUCH (5 SCHNELLE FRAGEN AN),"In 5 SCHNELLE FRAGEN AN sprechen Felix Lobrecht und Tommi Schmitt samstags mit bekannten und weniger bekannten, aber interessanten Menschen. In dieser Folge zu Gast: Schauspieler Hassan Akkouch."
5u7XOTUdFgCB7tgbOJhCRJ,13,2020-12-23,3503.673,https://open.spotify.com/episode/5u7XOTUdFgCB7tgbOJhCRJ,BEST OF 2020,"Alles, was 2020 witzig war. Nicht wichtig, aber witzig. Und auch nicht alles, aber einiges davon. Kleines Weihnachtsgeschenk. Für Euch. Weil ihr cool seid. Das Jahr ist bald rum. Besser wird’s nicht. Frohe Weihnachten. Titten."
4nLiClCoyBTtTrd8Lo3NwQ,14,2021-10-05,220.107,https://open.spotify.com/episode/4nLiClCoyBTtTrd8Lo3NwQ,Hack fällt aus,Diese Woche muss Gemischtes Hack aus gesundheitlichen Gründen leider ausfallen. Aber hört selbst. Danke für euer Verständnis.
