id,track,duration_total_min,duration_min,duration_sec,name
629FTaHnoBvZ5EnE07Ozhm,147,971.66,16,12,"REALTALK: Böhmermann gesteht, Schulz ist fassungslos"
7wjb2M2QqfrY1zUtjVzD8l,152,3227.56,53,48,Dicke Sahne
1qh77zNuQ8NC86j9EAw42C,157,1504.94,25,5,"Fanta, Caprisonne, Bubbles Blaubeer"
3n2bV5i4sFFTVaEiRdPrHj,167,1460.56,24,21,Crunchy
7o69Ap5ZPE4ZHQZ5xeykco,170,1731.74,28,52,Wenn Ihrs dirty wollt
4o8WUZx9buEHzosl8O37Ce,174,2259.28,37,39,DARÜBER müsst Ihr mal was machen!
0w9Y28gR1DPldyZ664YqlJ,176,3680.65,61,21,Ulrike hat keinen Bock
2gBJQILuktYQE0DxEdsUaY,178,2733.42,45,33,What? What? Ursula? What? Squirt!
3h5Dp5fse5dZQgJUGzu8BR,179,1998.69,33,19,Eine Sendung wie ein Autounfall
0jhpNEwkO6cXsaUudpVUTO,182,4507.66,75,8,Die Pipi-Girls von Vegesack
5e4JHQcvx8AdV279B4s65o,202,2641.48,44,1,Viele Grüße gehen raus
7bUetUikXd7p2k4zXRbcz0,211,1857.8,30,58,Fest & Flauschig Zuhause - 11
76PKzgMNgUymEbRvsxDpZP,212,2316.97,38,37,Only Human
7hOFGydhuRKzIbDcOHp1a6,219,781.11,13,1,Fest & Flauschig Zuhause - 17
11iJv9VLILxrKBuBSaRSST,237,1973.85,32,54,Die Bücherwand in deinem Gesicht
5IYDro3r5kW9LYu9YeRYCT,269,2954.33,49,14,Sehnsucht nach New York / Fernsehabend mit Jan und Olli
3wnffbz1WGSBg0oXV4g0rt,292,5068.0,84,28,Best of Fest & Flauschig 2016 - 2020
