id,track,duration_total_min,duration_min,duration_sec,name
6WmGWTuQZkvsBl6sENicUB,255,915.05,15,15,"Back to life, back to reality "
1U1wFDmRo3Ms9WQrPS3BNA,257,4058.3,67,38,Schweinebusen für alle
4dr6Uq63pX0Hqz1kWYRQ8n,258,233.88,3,54,Auf die Hand - KW 35/2020
3IAVCz2VqtzZFMZj5yzk0t,259,466.08,7,46,"Maske auf, die Trottel kommen!"
09Nk9TgJFXaNGStNhVstGG,261,362.91,6,3,Sicherheit geht vor 
3wnffbz1WGSBg0oXV4g0rt,292,7328.28,122,8,Best of Fest & Flauschig 2016 - 2020
04UKaoHTtxLvSjzkJS2ETs,307,1776.56,29,37,Freddie would have wanted it this way
0mRwGhsZ6vflqp7DGoG3iz,309,2418.7,40,19,„Im Freundeskreis bin ich der Rocker!“
0mRwGhsZ6vflqp7DGoG3iz,309,3042.93,50,43,„Im Freundeskreis bin ich der Rocker!“
2PK3YFP7VJAuId2xtuxU0u,311,351.3,5,51,Am Ende ist es immer das Ego
5uqrGzSjCnAvktNZoCNAx9,328,1368.57,22,49,#BOOMERCRINGE 21
1urD7xAFBeBPOrki5op8a7,333,1930.76,32,11,Die Sendung mit der weißen Hose
0P3uetGmYZ63hBTdybgp4J,340,2049.94,34,10,Der Aal eckt nicht an!
