id,track,duration_total_min,duration_min,duration_sec,name
5KoqVPiuDSgc5HPQFqpM2h,38,1132.774125,18,53,Ordnung ist das halbe Leben
1ZSzlodI09iYXbi8Pxp865,101,3760.340625,62,40,Der weiße Hai
1ZSzlodI09iYXbi8Pxp865,101,4557.226,75,57,Der weiße Hai
3DVHwLcZ7QYlreV3Lk99jT,129,172.315,2,52,Unplugged 2 - Live aus Bochum
3DVHwLcZ7QYlreV3Lk99jT,129,648.0195,10,48,Unplugged 2 - Live aus Bochum
3DVHwLcZ7QYlreV3Lk99jT,129,998.722875,16,39,Unplugged 2 - Live aus Bochum
3DVHwLcZ7QYlreV3Lk99jT,129,2991.51175,49,52,Unplugged 2 - Live aus Bochum
629FTaHnoBvZ5EnE07Ozhm,147,970.28225,16,10,"REALTALK: Böhmermann gesteht, Schulz ist fassungslos"
24XAYfyRvSASR5OoZbx2ft,150,18.999375,0,19,"Das Ende von ""Fest & Flauschig"""
6Y8qNuR0Igi69wM5G9LJsf,155,30.816,0,31,Die Mentalisten
0kmxHLTBIvjlvmWl7vX2Tp,166,3362.414625,56,2,Schöner Penis Deutschland
7o69Ap5ZPE4ZHQZ5xeykco,170,1730.361875,28,50,Wenn Ihrs dirty wollt
0w9Y28gR1DPldyZ664YqlJ,176,3679.2725,61,19,Ulrike hat keinen Bock
1Uz2KxBMYPaA0XTYMp4ISa,186,1379.771875,22,60,Ramen-Fix fürs Leben
1Uz2KxBMYPaA0XTYMp4ISa,186,1674.651875,27,55,Ramen-Fix fürs Leben
0VlDe8QYXpF6h1PjdIvlIC,188,1787.209125,29,47,Wirsing-Wickel für Thüringen
5jQdcp6D6RVW35NoDfGBWd,196,40.7815,0,41,Die Erde hat Fieber
0QiGoE6Th4HPDSud5MK7T5,275,3062.77325,51,3,Hacker und Checker
3aQvaD3IWrzDxiQXAuQfcG,295,1330.596375,22,11,Haarriss im Phasenprüfer
248lB973x7eXBBmpqZG5wd,297,1638.050375,27,18,Wir sind immer noch auf Bali
6Thf8MALuKMLeCWZL08Kvz,301,1340.43175,22,20,Müde in die Scheiße reiten
5Dm0WAXhhmy9KTmH8vmCe0,317,1984.778375,33,5,Slow Joe from the Last Row
1urD7xAFBeBPOrki5op8a7,333,1533.740125,25,34,Die Sendung mit der weißen Hose
7wLbA4VTQnXSM3Oybxetlm,346,1968.24775,32,48,Zwei Impfdurchbrüche an der Medienfront
5KnttK03w2Dl7cTrae4Nnt,360,1935.801,32,16,Irgendwann ist alles cringe
