id,track,duration_total_min,duration_min,duration_sec,name
2tddJk4PRmCxqmu28yPTmt,99,428.93,7,9,Autobiografie
2tddJk4PRmCxqmu28yPTmt,99,2361.58,39,22,Autobiografie
2tddJk4PRmCxqmu28yPTmt,99,2503.82,41,44,Autobiografie
1ZSzlodI09iYXbi8Pxp865,101,1842.18,30,42,Der weiße Hai
1ZSzlodI09iYXbi8Pxp865,101,1984.08,33,4,Der weiße Hai
5Mm3vlDkS39BAeuiQ2aVnw,105,2176.99,36,17,Köln-Brach
7cbMy8QDOrqihwG5OcOS8u,113,3523.59,58,44,Zwei hässliche Deutsche tanken Super
45WV8AvSztwCeV2aaSvqnB,120,2322.32,38,42,Whiskey und Chips
45WV8AvSztwCeV2aaSvqnB,120,2559.41,42,39,Whiskey und Chips
6Y8qNuR0Igi69wM5G9LJsf,155,3284.4,54,44,Die Mentalisten
6Y8qNuR0Igi69wM5G9LJsf,155,3491.27,58,11,Die Mentalisten
