id,track,duration_total_min,duration_min,duration_sec,name
2QvUONsEyvFjwj6055vrxH,124,2215.397625,36,55,Morphium fürs Volk
2QvUONsEyvFjwj6055vrxH,124,2405.84325,40,6,Morphium fürs Volk
6WEuJY7IgY8PNmTNthiIzY,125,2418.748875,40,19,Liebe auf sehr lange Distanz
4gJ61nmFfOIXoTsvogIcf2,143,3736.34275,62,16,Geschlechtsverkehr in Paderborn
4gJ61nmFfOIXoTsvogIcf2,143,4072.129625,67,52,Geschlechtsverkehr in Paderborn
35rWosUvWYRaoG3tAdxF9n,144,4418.685375,73,39,Du Altes Suppenstück
35rWosUvWYRaoG3tAdxF9n,144,4768.046625,79,28,Du Altes Suppenstück
6Y8qNuR0Igi69wM5G9LJsf,155,2156.746125,35,57,Die Mentalisten
6Y8qNuR0Igi69wM5G9LJsf,155,2489.029625,41,29,Die Mentalisten
0kmxHLTBIvjlvmWl7vX2Tp,166,4456.9905,74,17,Schöner Penis Deutschland
0kmxHLTBIvjlvmWl7vX2Tp,166,4786.2195,79,46,Schöner Penis Deutschland
0w9Y28gR1DPldyZ664YqlJ,176,2323.405125,38,43,Ulrike hat keinen Bock
0w9Y28gR1DPldyZ664YqlJ,176,2600.046875,43,20,Ulrike hat keinen Bock
5HHNo1gic4iBtzzPzJNPGI,249,3026.880625,50,27,Die alte Soße gehört auf den Croque
5HHNo1gic4iBtzzPzJNPGI,249,3342.549125,55,43,Die alte Soße gehört auf den Croque
6WmGWTuQZkvsBl6sENicUB,255,4027.534875,67,8,"Back to life, back to reality "
6WmGWTuQZkvsBl6sENicUB,255,4429.472875,73,49,"Back to life, back to reality "
7uJwe3HJEUrD1TfpwQedFD,283,3115.065,51,55,Tresentalk mit Jan & Olli
7uJwe3HJEUrD1TfpwQedFD,283,3518.08075,58,38,Tresentalk mit Jan & Olli
2SXS1XQdAitnciY80xqHiR,321,2215.618625,36,56,Komplett Gänsehals
2SXS1XQdAitnciY80xqHiR,321,2625.721125,43,46,Komplett Gänsehals
3TrZPFh2aI4tEngMcW2rAt,327,2756.605875,45,57,Zärtliche Rebellen
3TrZPFh2aI4tEngMcW2rAt,327,3349.325875,55,49,Zärtliche Rebellen
0cjy725bndUz0RA9hKev1g,354,3430.52575,57,11,Geburtstagsparty mit Peter Alupka
0cjy725bndUz0RA9hKev1g,354,3940.6865,65,41,Geburtstagsparty mit Peter Alupka
5KnttK03w2Dl7cTrae4Nnt,360,3184.1885,53,4,Irgendwann ist alles cringe
5KnttK03w2Dl7cTrae4Nnt,360,3731.405125,62,11,Irgendwann ist alles cringe
