id,track,duration_total_min,duration_min,duration_sec,name
3dL2woVoz0SipXtekdb2qb,84,4118.31,68,38,Das Gottesteilchen von Cala Ratata
0htWQe0tP4IfaFo10fSsn4,85,3084.72,51,25,Der weiße Schwabbel. Aber normal.
0htWQe0tP4IfaFo10fSsn4,85,3133.38,52,13,Der weiße Schwabbel. Aber normal.
0htWQe0tP4IfaFo10fSsn4,85,3994.05,66,34,Der weiße Schwabbel. Aber normal.
0htWQe0tP4IfaFo10fSsn4,85,3990.36,66,30,Der weiße Schwabbel. Aber normal.
3Bx0Woym6k4pHXRpQCCN3H,86,413.41,6,53,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,407.77,6,48,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,450.24,7,30,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,441.62,7,22,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,715.96,11,56,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,748.76,12,29,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,1115.96,18,36,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,1289.49,21,29,Löwen gegen Murmelpromis
3Bx0Woym6k4pHXRpQCCN3H,86,2407.83,40,8,Löwen gegen Murmelpromis
1qLW59tSjO9EYYsuWfjbL0,87,179.55,2,60,Stimmungslage: Cordon Bleu
1qLW59tSjO9EYYsuWfjbL0,87,175.19,2,55,Stimmungslage: Cordon Bleu
1qLW59tSjO9EYYsuWfjbL0,87,532.09,8,52,Stimmungslage: Cordon Bleu
3PoXqxSnJTH7a50iP3Grz8,91,1376.45,22,56,Getuschel bei der Preisverleihung
5PnthHdpmEk91Po49AAvbO,93,3692.42,61,32,Angst essen Döner auf
