id,track,duration_total_min,duration_min,duration_sec,name
629FTaHnoBvZ5EnE07Ozhm,147,958.07,15,58,"REALTALK: Böhmermann gesteht, Schulz ist fassungslos"
24XAYfyRvSASR5OoZbx2ft,150,6.79,0,7,"Das Ende von ""Fest & Flauschig"""
7wjb2M2QqfrY1zUtjVzD8l,152,3227.55,53,48,Dicke Sahne
5FbT0GrvOCVandITWKWrPO,154,21.96,0,22,Milchreis und Bier
6Y8qNuR0Igi69wM5G9LJsf,155,18.61,0,19,Die Mentalisten
1qh77zNuQ8NC86j9EAw42C,157,1504.93,25,5,"Fanta, Caprisonne, Bubbles Blaubeer"
0INATIlpjti8OHn9kQcgKv,159,2159.67,35,60,Sommerfun mit Olli und Jan
3n2bV5i4sFFTVaEiRdPrHj,167,1460.55,24,21,Crunchy
7o69Ap5ZPE4ZHQZ5xeykco,170,1718.15,28,38,Wenn Ihrs dirty wollt
4o8WUZx9buEHzosl8O37Ce,174,2259.28,37,39,DARÜBER müsst Ihr mal was machen!
3PZVddkmD16zNGi4vngnVM,175,3526.51,58,47,Die leichte Sendung
0w9Y28gR1DPldyZ664YqlJ,176,3667.06,61,7,Ulrike hat keinen Bock
2gBJQILuktYQE0DxEdsUaY,178,2733.41,45,33,What? What? Ursula? What? Squirt!
3h5Dp5fse5dZQgJUGzu8BR,179,1998.69,33,19,Eine Sendung wie ein Autounfall
0jhpNEwkO6cXsaUudpVUTO,182,4507.65,75,8,Die Pipi-Girls von Vegesack
1V2oqbTiUJSszPvl27pTMA,192,18.03,0,18,Fahri Yardim
5e4JHQcvx8AdV279B4s65o,202,2641.48,44,1,Viele Grüße gehen raus
7bUetUikXd7p2k4zXRbcz0,211,1857.8,30,58,Fest & Flauschig Zuhause - 11
76PKzgMNgUymEbRvsxDpZP,212,2316.97,38,37,Only Human
7hOFGydhuRKzIbDcOHp1a6,219,781.11,13,1,Fest & Flauschig Zuhause - 17
11iJv9VLILxrKBuBSaRSST,237,1973.85,32,54,Die Bücherwand in deinem Gesicht
5IYDro3r5kW9LYu9YeRYCT,269,2954.33,49,14,Sehnsucht nach New York / Fernsehabend mit Jan und Olli
3wnffbz1WGSBg0oXV4g0rt,292,5067.99,84,28,Best of Fest & Flauschig 2016 - 2020
