id,track,duration_total_min,duration_min,duration_sec,name
2xckoOAY2TCMOpL2Q4164W,69,1337.01,22,17,Die Live Show
0RXILFdgeiy39Yf6w6sbDw,72,2634.14,43,54,"Niedlich, niedlich"
1sOo61ATCY7oF6U98z4UOO,75,1740.04,29,0,Endlich wieder Biathlon
72JV8UkooFwhl3pJd2hAxq,77,1652.74,27,33,Zu faul für Sexsucht
1HW2X0lffQl9MzkSPcORVs,88,1470.72,24,31,Forken im Nacken
2tddJk4PRmCxqmu28yPTmt,99,2946.88,49,7,Autobiografie
1ZSzlodI09iYXbi8Pxp865,101,3601.7,60,2,Der weiße Hai
0eNGDccVSdYGatS7Tmm32U,190,6.67,0,7,Ein Fetisch kommt selten allein
5jQdcp6D6RVW35NoDfGBWd,196,3097.12,51,37,Die Erde hat Fieber
4yIWafVNug08kpfoVkZ2Wj,207,2008.35,33,28,Sexkarussell im Kopf
2QKobOqdg1FVZz5MbFt5NS,216,2326.03,38,46,Fest & Flauschig Zuhause - 15
5tUWJPZhS6DOjHHYbzcmRw,226,1671.18,27,51,Fest & Flauschig Zuhause - 23
5286WwmY8fpHxfbthJR7QP,231,2000.67,33,21,Der Feuersalamander scheißt sein Kind aus und geht 
5HHNo1gic4iBtzzPzJNPGI,249,1477.95,24,38,Die alte Soße gehört auf den Croque
1U1wFDmRo3Ms9WQrPS3BNA,257,2352.9,39,13,Schweinebusen für alle
3wnffbz1WGSBg0oXV4g0rt,292,7256.71,120,57,Best of Fest & Flauschig 2016 - 2020
