id,track,duration_total_min,duration_min,duration_sec,name
1Uz2KxBMYPaA0XTYMp4ISa,186,1672.19,27,52,Ramen-Fix fürs Leben
0VlDe8QYXpF6h1PjdIvlIC,188,1784.75,29,45,Wirsing-Wickel für Thüringen
0QiGoE6Th4HPDSud5MK7T5,275,3060.32,51,0,Hacker und Checker
3aQvaD3IWrzDxiQXAuQfcG,295,1266.8,21,7,Haarriss im Phasenprüfer
248lB973x7eXBBmpqZG5wd,297,1574.26,26,14,Wir sind immer noch auf Bali
6Thf8MALuKMLeCWZL08Kvz,301,1288.68,21,29,Müde in die Scheiße reiten
5Dm0WAXhhmy9KTmH8vmCe0,317,1942.43,32,22,Slow Joe from the Last Row
1urD7xAFBeBPOrki5op8a7,333,1491.39,24,51,Die Sendung mit der weißen Hose
7wLbA4VTQnXSM3Oybxetlm,346,1928.64,32,9,Zwei Impfdurchbrüche an der Medienfront
5KnttK03w2Dl7cTrae4Nnt,360,1886.79,31,27,Irgendwann ist alles cringe
