id,track,duration_total_min,duration_min,duration_sec,name
2ddewTuM6IA8sOTNPHqsLy,14,35.28,0,35,Künstlerische Depression
7INwwtIuUItZpkJIc1gIXC,15,91.28,1,31,Autorität
3YlZ1rnHa5k7Ss6YNXGOgm,16,70.29,1,10,Barbarische Wochen
0s2U9vofHKUvyYMFH5slvJ,17,85.69,1,26,Unsere alte Scheißwelt
0QXdxczVpd9HXMrdOxnWAD,18,86.28,1,26,Die blaue Stunde
2UG28bLA6X1h5hHYfvrT3R,19,133.41,2,13,Die große Erleichterung
0L26be58CiourngBgpCLn6,20,117.19,1,57,Weltraum & Mee(h)r
4EzH6UAVHzxoKXQ74bzdZo,21,90.09,1,30,Global Warning
5Tw6LRzhEWJ18le5oMXp1p,22,51.22,0,51,Marzipankartoffeln
5eRTckU7pPjLja8cF9RkFe,23,85.76,1,26,Das Leben ist ne Ratte
7oHaasIea4lcGAjU2HhO4t,24,135.79,2,16,The Show must go on
3OKjBD6sKGJL3GkJSNNYKp,25,68.58,1,9,Sex and Gags
2dPXVMta8D0CS97DQsmupR,26,108.84,1,49,Liebeskummersendung
4HbhwQA3Nr8q4EKMH1CVgM,27,171.16,2,51,Altern und Würde
5gS6ID7ZdJkm1v4tMxVeFD,28,58.97,0,59,Runterfahren
3AvZesh8y4utXRyVWGMLuN,29,134.21,2,14,Die Baustelle des Lebens
46XY2NG5mxNvk0kWNXibmD,31,205.46,3,25,1000 ganz legale Steuertricks (Gib dem Hass eine Chance)
0RXYcsEafooB4yn89eui2z,32,81.73,1,22,Der große Sonntagsspaziergang
0b6BDbeJ2u7dylXdXKW7JG,33,151.75,2,32,Bundesversammlung
3TtaANbVgsrsEPN5OtVAwS,34,44.68,0,45,Konsequenzen
4Zn4TzTiXcMYYvlIACB9B7,35,66.98,1,7,Der Preis des Lebens
45OWajGpRvpt5mUsSd7e81,36,123.96,2,4,Das Leben ist ein Comic
4Zjfzjw7EqiZz6LlWEZLEZ,37,1101.51,18,22,Dicker Wurm am Haken
5KoqVPiuDSgc5HPQFqpM2h,38,112.98,1,53,Ordnung ist das halbe Leben
2bdVBYjL4IJhrS1sy8Pf6N,39,252.62,4,13,Honig im Tee
6IKL4zi77KaHYIw4sk12UK,42,83.74,1,24,Gemischte Gefühle
7oseeBp9mTjm3gooYhOsDj,43,58.8,0,59,Die große Thailandwoche
5JCb5SRfqBJxcqIG0k9zGW,44,94.92,1,35,Tabletten gegen Alles
39loDh3F1nbWfrpUM4Ly7N,45,104.08,1,44,Kurz vor dem Absprung
5Iitevz2Rwy2mJBOewKgyN,47,131.65,2,12,"Quote, Quote, Quote - das Leben ist gar nicht mal so schlecht"
6PxD8zYTP8GDZYV1KYGFRu,49,99.2,1,39,Morgenstund hat Jan und Olli im Mund
2pDnDDQ4rfy8qMgB3fsvJA,50,146.11,2,26,Clickbait
5pLOBA4s5g6uNAlQWqyoyy,51,126.8,2,7,Umgezogene Jungs
53Z31gHj12iPTGG33UGiXJ,52,82.1,1,22,Spitten und Biten (mit Ali As)
4YRCIpJx0gqv7OgDnRJliM,61,83.77,1,24,Wir hassen Internet
36yg0MfgOFYyy4Hp5llGJG,63,89.34,1,29,Kosmetik und Pflege
142xNwxVgA8SSYUS3ToVFj,64,158.97,2,39,Dornige Probleme
5YujRidBLTwk1vxhR4Znlp,66,127.42,2,7,Drollige Aussichten
75e5TPYVNpvjWzzhCX7eti,71,83.98,1,24,Die ersten Mandarinen
6ZHQrPBCasBQFcSE7d6fLh,73,125.37,2,5,Jörn & Olaf
3SGVDFWxHQvOiUz2sWFEgX,74,210.57,3,31,Wieso machen Sie das?
1sOo61ATCY7oF6U98z4UOO,75,64.98,1,5,Endlich wieder Biathlon
72JV8UkooFwhl3pJd2hAxq,77,111.97,1,52,Zu faul für Sexsucht
5Zsf9xfPjolIllbN9mNV8V,80,10.19,0,10,Raclette und Fondue
3R6XIVO3pGZcOkhIL961d9,83,85.48,1,25,"Luke, Kanye, Dave, Mos und ich"
3Hw7jKbbrGVRSIJYSzQtcG,84,78.68,1,19,The future is now
56V3Gneu7UD7FnxtL37hYD,86,130.47,2,10,Moralische Fragen
1LbNhA5rkGqBI3vOrgM1U1,87,77.44,1,17,Russenpeitsche
67PX98j7d5vo3C8hCcTQIl,89,15.78,0,16,Rock 'n' Roll Edition
1XfhB5AvA1WqJ4GjDXvZ38,93,39.53,0,40,The Winner Takes It All
3dGykG9OJN8IDn97d24JfY,121,76.92,1,17,Leben und Wohnen
2QvUONsEyvFjwj6055vrxH,124,70.38,1,10,Morphium fürs Volk
4WuJKN8fAoaLHfpUmZLfl1,148,1.97,0,2,Ehrenhafte Welt
4WuJKN8fAoaLHfpUmZLfl1,148,1334.31,22,14,Ehrenhafte Welt
24XAYfyRvSASR5OoZbx2ft,150,2992.95,49,53,"Das Ende von ""Fest & Flauschig"""
6baOrplJ4SO4kSv9W3qnLV,168,2910.29,48,30,030959997666
4hYi7Qtmf8AUf6rz0GfhLS,189,38.91,0,39,Auf die Hand - KW 07/2020
3DgbIjgFzQrdPMJcfascsT,273,0.66,0,1,Barfuß auf der Rasierklinge
0QiGoE6Th4HPDSud5MK7T5,275,1528.93,25,29,Hacker und Checker
1BKmQbNM9OiidXYR888qfe,279,1336.08,22,16,ficki ficki licki licki
4AUWpgpnwliozXZ7sAH6OD,281,1127.93,18,48,Bettgeschichten und Bolognese
7uJwe3HJEUrD1TfpwQedFD,283,1876.28,31,16,Tresentalk mit Jan & Olli
04UKaoHTtxLvSjzkJS2ETs,307,1665.89,27,46,Freddie would have wanted it this way
573V69LyDFQfO2y9SdlHOY,320,11.23,0,11,#BOOMERCRINGE 17
1urD7xAFBeBPOrki5op8a7,333,2983.67,49,44,Die Sendung mit der weißen Hose
7IkdwdWjbJGsIPycXZzl5i,350,1893.32,31,33,Die Ekard Vermutung
