id,track,release_date,duration_sec,spotify_url,name,description
4lE0qARKW7CZTn7JNCSB7o,1,2017-09-27,2324.271,https://open.spotify.com/episode/4lE0qARKW7CZTn7JNCSB7o,#1 GEMISCHTES HACK,#1 GEMISCHTES HACK by Felix Lobrecht & Tommi Schmitt
6D5ZaWCGmYIO6XTAZDqpvd,2,2017-10-04,2327.275,https://open.spotify.com/episode/6D5ZaWCGmYIO6XTAZDqpvd,#2 BEREICHSLEITER,#2 BEREICHSLEITER by Felix Lobrecht & Tommi Schmitt
120B16UpoXcqbc7PYGRxTl,3,2017-10-10,1731.37,https://open.spotify.com/episode/120B16UpoXcqbc7PYGRxTl,#3 ALLE ASTRONAUTEN SIND ALKOHOLIKER,#3 ALLE ASTRONAUTEN SIND ALKOHOLIKER by Felix Lobrecht & Tommi Schmitt
6sZoQS2B7wRxSErtbyoAaA,4,2017-10-17,2650.593,https://open.spotify.com/episode/6sZoQS2B7wRxSErtbyoAaA,#4 MOTORRAD,#4 MOTORRAD by Felix Lobrecht & Tommi Schmitt
3gjrzvNUwT2NaG10lxetUG,5,2017-10-24,2822.583,https://open.spotify.com/episode/3gjrzvNUwT2NaG10lxetUG,#5 GUCCI-MÜTZE,#5 GUCCI-MÜTZE by Felix Lobrecht & Tommi Schmitt
04JGDvtYCfVsJ8xkgbgLYz,6,2017-11-01,2850.586,https://open.spotify.com/episode/04JGDvtYCfVsJ8xkgbgLYz,#6 DER RATTENVORFALL,#6 DER RATTENVORFALL by Felix Lobrecht & Tommi Schmitt
4TF7a17VBck1rVL5a20AH0,7,2017-11-07,3250.599,https://open.spotify.com/episode/4TF7a17VBck1rVL5a20AH0,#7 TOMMIS SEIFENMUSCHEL,#7 TOMMIS SEIFENMUSCHEL by Felix Lobrecht & Tommi Schmitt
18M0HJcNC6DSu5pxJJvxcW,8,2017-11-14,3655.602,https://open.spotify.com/episode/18M0HJcNC6DSu5pxJJvxcW,#8 RUBBELSCHWEINCHEN,#8 RUBBELSCHWEINCHEN by Felix Lobrecht & Tommi Schmitt
2YBG7a2inIucHWnXDAIR1k,9,2017-11-21,3337.091,https://open.spotify.com/episode/2YBG7a2inIucHWnXDAIR1k,#9 IHR SEID SCHÖN,#9 IHR SEID SCHÖN by Felix Lobrecht & Tommi Schmitt
44lxTIcDmhWo9S1MJHU08W,10,2017-11-28,3119.987,https://open.spotify.com/episode/44lxTIcDmhWo9S1MJHU08W,#10 DEUTSCHES HACK,#10 DEUTSCHES HACK by Felix Lobrecht & Tommi Schmitt
0F9aq6PSn6iyQIAs1ehT4v,11,2017-12-06,3015.602,https://open.spotify.com/episode/0F9aq6PSn6iyQIAs1ehT4v,#11 GDM,#11 GDM by Felix Lobrecht & Tommi Schmitt
4L9zA5ZNXBkWpxhvAMurgD,12,2017-12-12,2747.089,https://open.spotify.com/episode/4L9zA5ZNXBkWpxhvAMurgD,#12 LASST EUCH ÜBERRASCHEN,#12 LASST EUCH ÜBERRASCHEN by Felix Lobrecht & Tommi Schmitt
3pjGPt5rcEes55EFrQRQwE,13,2017-12-20,4187.585,https://open.spotify.com/episode/3pjGPt5rcEes55EFrQRQwE,#13 DANKE. VIELEN DANK. DANKE.,#13 DANKE. VIELEN DANK. DANKE. by Felix Lobrecht & Tommi Schmitt
5i6bIXHDX4bOnlRuitxvXf,14,2018-01-23,2969.208,https://open.spotify.com/episode/5i6bIXHDX4bOnlRuitxvXf,#14 DAS IST MEIN TÜRKE,#14 DAS IST MEIN TÜRKE by Felix Lobrecht & Tommi Schmitt
6sPtNQGQNk7WMF1vNC3WwO,15,2018-01-30,3605.603,https://open.spotify.com/episode/6sPtNQGQNk7WMF1vNC3WwO,#15 LATE TWENS,#15 LATE TWENS by Felix Lobrecht & Tommi Schmitt
2sO8TmQ6rKAAt8s0o7Cp1r,16,2018-02-06,3764.558,https://open.spotify.com/episode/2sO8TmQ6rKAAt8s0o7Cp1r,#16 DOMINIK.TIM.SVEN,#16 DOMINIK.TIM.SVEN by Felix Lobrecht & Tommi Schmitt
4jGUbwZJW8wDKJwyKrvox7,17,2018-02-13,2982.06,https://open.spotify.com/episode/4jGUbwZJW8wDKJwyKrvox7,#17 MITTEN IN DER NACHT,#17 MITTEN IN DER NACHT by Felix Lobrecht & Tommi Schmitt
6QmC58DaVvTD0S0wdqwJ2j,18,2018-02-20,3527.079,https://open.spotify.com/episode/6QmC58DaVvTD0S0wdqwJ2j,#18 DER KAFFEE BRENNT,#18 DER KAFFEE BRENNT by Felix Lobrecht & Tommi Schmitt
495vtclMqVOQBfSveRYAND,19,2018-02-28,3319.092,https://open.spotify.com/episode/495vtclMqVOQBfSveRYAND,#19 MAMBA-ALARM,#19 MAMBA-ALARM by Felix Lobrecht & Tommi Schmitt
3YfS0FJ2S1KKQfZV6EDPp7,20,2018-03-07,2937.835,https://open.spotify.com/episode/3YfS0FJ2S1KKQfZV6EDPp7,#20 BLOWJOB PERSPEKTIVE,#20 BLOWJOB PERSPEKTIVE by Felix Lobrecht & Tommi Schmitt
1upfuyrg9chw4RRQDnAR7W,21,2018-03-13,3228.604,https://open.spotify.com/episode/1upfuyrg9chw4RRQDnAR7W,#21 HACK AROUND THE WORLD,#21 HACK AROUND THE WORLD by Felix Lobrecht & Tommi Schmitt
7kXcwUZPDM1nNTsKUJD07C,22,2018-03-20,3369.848,https://open.spotify.com/episode/7kXcwUZPDM1nNTsKUJD07C,#22 GEMISCHTES HUG,#22 GEMISCHTES HUG by Felix Lobrecht & Tommi Schmitt
3YgzS0n54rfaCB9tyHdCxP,23,2018-04-04,5091.422,https://open.spotify.com/episode/3YgzS0n54rfaCB9tyHdCxP,#23 FÜNF FRAGEN AN TOMMI SCHMITT,#23 FÜNF FRAGEN AN TOMMI SCHMITT by Felix Lobrecht & Tommi Schmitt
4tkxfnMlEqF9h7uqdtXZdJ,24,2018-04-11,3698.599,https://open.spotify.com/episode/4tkxfnMlEqF9h7uqdtXZdJ,#24 FREE CHICO,#24 FREE CHICO by Felix Lobrecht & Tommi Schmitt
15ZqQP5M8abaxXpUV5Npvl,25,2018-04-17,3163.089,https://open.spotify.com/episode/15ZqQP5M8abaxXpUV5Npvl,#25 ‘N STELLI,#25 ‘N STELLI by Felix Lobrecht & Tommi Schmitt
2TGprV8QDkkX2Dyh8M3UHP,26,2018-04-24,5087.869,https://open.spotify.com/episode/2TGprV8QDkkX2Dyh8M3UHP,#26 FEST & FLAUSCHIG,#26 FEST & FLAUSCHIG by Felix Lobrecht & Tommi Schmitt
5oPvoQPd4kg9n7mc5uoEZZ,27,2018-05-02,2872.085,https://open.spotify.com/episode/5oPvoQPd4kg9n7mc5uoEZZ,#27 NICHT ANHÖREN!,#27 NICHT ANHÖREN! by Felix Lobrecht & Tommi Schmitt
2yp3l5WnN4PFu8U4hvmMC2,28,2018-05-08,4307.331,https://open.spotify.com/episode/2yp3l5WnN4PFu8U4hvmMC2,#28 DER BERÜHMTESTE HACKI,#28 DER BERÜHMTESTE HACKI by Felix Lobrecht & Tommi Schmitt
7bhF9u0rY1FsQ2uS6RDtqH,29,2018-05-17,3243.833,https://open.spotify.com/episode/7bhF9u0rY1FsQ2uS6RDtqH,#29 DIE RICHTIGSTELLUNG,#29 DIE RICHTIGSTELLUNG by Felix Lobrecht & Tommi Schmitt
3Pmn7Vy3AFES89FhWl47mw,30,2018-05-22,1605.59,https://open.spotify.com/episode/3Pmn7Vy3AFES89FhWl47mw,#30 ÜBERRASCHUNGSHACK,#30 ÜBERRASCHUNGSHACK by Felix Lobrecht & Tommi Schmitt
3rbcc8iTNAvdwBHzXGmeAH,31,2018-05-30,4087.589,https://open.spotify.com/episode/3rbcc8iTNAvdwBHzXGmeAH,#31 RETTUNGSGASSE UND TITTEN,#31 RETTUNGSGASSE UND TITTEN by Felix Lobrecht & Tommi Schmitt
6UfCoWZH2xSBCiNm8mEAYD,32,2018-06-06,3914.083,https://open.spotify.com/episode/6UfCoWZH2xSBCiNm8mEAYD,"#32 WEIBER, ODER?","#32 WEIBER, ODER? by Felix Lobrecht & Tommi Schmitt"
6Rt5tlQzAyXUnm19Y6mx9B,33,2018-06-12,2984.594,https://open.spotify.com/episode/6Rt5tlQzAyXUnm19Y6mx9B,#33 SONNENKOPF,#33 SONNENKOPF by Felix Lobrecht & Tommi Schmitt
11T4L6cEkstzaX8SNgKmUI,34,2018-06-19,4386.978,https://open.spotify.com/episode/11T4L6cEkstzaX8SNgKmUI,#34 DIE GEILE BLUMEN-SEX-OMA,#34 DIE GEILE BLUMEN-SEX-OMA by Felix Lobrecht & Tommi Schmitt
0P13Ru6ABKS9TfSywXH8i4,35,2018-06-27,4042.214,https://open.spotify.com/episode/0P13Ru6ABKS9TfSywXH8i4,#35 HITZEFREI,#35 HITZEFREI by Felix Lobrecht & Tommi Schmitt
3OC5xy5BWUI6HdsvWe9JtM,36,2018-08-28,4569.757,https://open.spotify.com/episode/3OC5xy5BWUI6HdsvWe9JtM,#36 DAS SEX-FÜHRER-PRINZIP,#36 DAS SEX-FÜHRER-PRINZIP by Felix Lobrecht & Tommi Schmitt
5aFdtw53WRiwmvm8eXcNs3,37,2018-09-05,4404.82,https://open.spotify.com/episode/5aFdtw53WRiwmvm8eXcNs3,#37 CHEMNITZ UND JAN ULLRICH,#37 CHEMNITZ UND JAN ULLRICH by Felix Lobrecht & Tommi Schmitt
3nUkY2rVcTRlRnv05A67Gz,38,2018-09-11,4202.71,https://open.spotify.com/episode/3nUkY2rVcTRlRnv05A67Gz,#38 CAPPUCCIO,#38 CAPPUCCIO by Felix Lobrecht & Tommi Schmitt
2m7HviLaWe2isM3l15Gz80,39,2018-09-19,4611.37,https://open.spotify.com/episode/2m7HviLaWe2isM3l15Gz80,#39 WENIGER APPLAUS,#39 WENIGER APPLAUS by Felix Lobrecht & Tommi Schmitt
7aBJOKRo2N2mGwbThl9TAw,40,2018-09-25,4660.428,https://open.spotify.com/episode/7aBJOKRo2N2mGwbThl9TAw,#40 ENGLAND ABSCHAFFEN!,#40 ENGLAND ABSCHAFFEN! by Felix Lobrecht & Tommi Schmitt
6GV8g9pBCDuU3MJ4kazbmd,41,2018-10-03,4565.316,https://open.spotify.com/episode/6GV8g9pBCDuU3MJ4kazbmd,#41 TEAM LEGEBATTERIE,#41 TEAM LEGEBATTERIE by Felix Lobrecht & Tommi Schmitt
1zc3bn8eFwXCfaMtRnspcf,42,2018-10-09,3698.913,https://open.spotify.com/episode/1zc3bn8eFwXCfaMtRnspcf,#42 SEX-BESEN,#42 SEX-BESEN by Felix Lobrecht & Tommi Schmitt
5LhAru2YPzlLHtPW1rpbJr,43,2018-10-17,3440.353,https://open.spotify.com/episode/5LhAru2YPzlLHtPW1rpbJr,#43 HEUTE IST MORGENS,#43 HEUTE IST MORGENS by Felix Lobrecht & Tommi Schmitt
3l0uIPrCbPCcfVP2DDHePv,44,2018-10-25,3828.219,https://open.spotify.com/episode/3l0uIPrCbPCcfVP2DDHePv,#44 HETERONORMATIVES HACK,#44 HETERONORMATIVES HACK by Felix Lobrecht & Tommi Schmitt
