track,release_date,duration_sec,name,description
1,2012-09-23,3460.370467381197,Bedürfnisse und Notwendigkeiten,"""Joko und Klaas mit Olli und Jan"" mit Olli Schulz und Jan Böhmermann."
2,2012-10-07,3837.7393745411837,Die Relativität des Glücks,Thema der Sendung: Die Relativität des Glücks
3,2012-10-21,3736.2820378799,Selbstzweifel,
4,2012-11-04,3971.951067390986,Coming Outs und schmutzige Details,
5,2012-11-25,4381.629184162874,Entspannung für gestresste Opinion Leader,
6,2012-12-09,4655.969774384574,Falscher Stolz,Thema der Sendung: Falscher Stolz
7,2012-12-23,3931.446675475946,Winterzauberedition,Die Winterzauberedition von Sanft & Sorgfältig mit Olli Schulz und Jan Böhmermann am 4. Advent
8,2013-01-06,4563.414554886704,Wird die Menschheit immer dümmer,Thema der Sendung: Wird die Menschheit immer dümmer?
9,2013-01-20,3596.28400332795,Friendzoned,
10,2013-02-03,4080.372949640288,Freundschaft,Thema: Freundschaft
11,2013-02-17,3740.890175696178,Die großen Fünf (Vorbilder),Die großen Fünf (Vorbilder) – definiert von Böhmermann und Schulz
12,2013-03-03,4541.028430480105,Pferde – nützlich und lecker,
13,2013-03-17,4868.048353154211,Glaube,Thema: Glaube
14,2013-03-24,3849.521476043655,Zukunftsangst,
15,2013-03-31,4700.218258699164,Olli und Jan feiern Ostern,"Abschweifen, Ausufern, Ablenken, Irreführen, Übertreiben..."
16,2013-04-07,4535.163596143494,Umwelt und Mensch,
17,2013-04-14,4277.003764498606,Servicewüste Deutschland,Olli Schulz und Jan Böhmermann wollen die Leute wieder auf den Boden der Tatsache runterziehen.
18,2013-04-21,4652.723136103363,Urlaubsdomizile und Dies & Das,
19,2013-04-28,4720.038431948319,Der deutsche Film,Olli Schulz und Jan Böhmermann über den deutschen Film.
20,2013-05-05,4372.439093623061,Leben wir in einem Prangerstaat,"Ist eigentlich alles, was nicht der deutschen Norm entspricht, gleich gefährlich?
Olli Schulz und Jan Böhmermann haben ihre Sendung diesmal diesem Thema gewidmet."
21,2013-05-12,3936.683192874272,Kriminalität,Olli Schulz und Jan Böhmermann über kriminelle Geschichten
22,2013-05-26,4559.591907208927,Richi Wagner,"Olli Schulz und Jan Böhmermann beschäftigten sich diesmal ""sanft & sorgfältig"" mit Richard Wagner, anlässlich seines 200. Geburtstages."
23,2013-06-02,3818.8355542504773,Erotik,"Olli Schulz und Jan Böhmermann beschäftigen sich diesmal mit dem Thema ""Erotik""."
24,2013-06-09,4983.539521362502,Küchenpsychologie zum Thema Urlaub,"Olli Schulz und Jan Böhmermann wollten in dieser Ausgabe der Sendung wissen, wo die Hörer in den Urlaub fahren, um dadurch herauszufinden, was Sie für ein Typ sind."
25,2013-06-16,3996.8244623892724,Jubiläum Ein Jahr mittelmäßiger Dialoge in der Sonntagsshow,
26,2013-08-04,4869.697826065678,Die Sommerferien sind vorbei,Wo wurde im Sommer Urlaub gemacht? Olli Schulz und Jan Böhmermann sind der Frage auf den Grund gegangen.
27,2013-08-11,4031.4377722311947,Tschillen,Olli Schulz und Jan Böhmermann beschäftigen sich diesmal mit dem Thema Chillen und Chill Out.
28,2013-08-18,4558.4921959575195,Live aus dem Cafe del Mar,"Spirits, Lifestyle, Ecstasy..."
29,2013-08-25,3333.4637263250625,Female Edition,Eine Sendung nur für Frauen.
30,2013-09-01,4484.395650173739,Occupy Gleisdreieck,Olli Schulz und Jan Böhmermann live aus dem Park am Gleisdreieck vom radioeins Parkfest. Mit dabei war auch Thees Uhlmann.
