id,found,found_at,track,duration_total_min,duration_min,duration_sec,name
0VpyIy8Srg5IKQdRAbDDH1,False,1663502014.771755,1,0.0,0.0,0.0,Aufbau West
4hVDAFkAJD2Nn4ymJ8BXnx,False,1663502014.771755,2,0.0,0.0,0.0,Alkohol im Showgeschäft
3BROfvQrhLMeUjmhN7728q,False,1663502014.771755,3,0.0,0.0,0.0,The Big Empty
2tdgvoReMzIoOAxRL9W3V4,False,1663502014.771755,4,0.0,0.0,0.0,Weltkrieg für Einsteiger
2LCKANr9pxMaCirs6KCmET,False,1663502014.771755,5,0.0,0.0,0.0,Demut und Vergebung
4VGGH5YoSFzfJ6kXcvaQMh,False,1663502014.771755,6,0.0,0.0,0.0,Spam
7pNWEfC1KKGzxfUz89bkUI,False,1663502014.771755,7,0.0,0.0,0.0,Paradiesische Verhältnisse
0gXYUsLxDeuQw8OEmypymL,False,1663502014.771755,8,0.0,0.0,0.0,Die Deutsche Sendung
4MCkWP4OdirTahsRi4Zw58,False,1663502014.771755,9,0.0,0.0,0.0,Bonusfolge: Böhmerland und Olliversum - die verlorene Sendung
0GcDzJIKgqquP5xbSeKxG5,False,1663502014.771755,10,0.0,0.0,0.0,Die Geschichte der Menschheit
45rYUWHr4YexsmqH36cDbg,False,1663502014.771755,11,0.0,0.0,0.0,Technischer Fortschritt
7AbvE4XRyPFWq1k1DKB3mT,False,1663502014.771755,12,0.0,0.0,0.0,Datenvolumen des Lebens
1QmIfh5SveFDe5HZ3Qp2TR,False,1663502014.771755,13,0.0,0.0,0.0,Das große Sommerfest
2ddewTuM6IA8sOTNPHqsLy,False,1663502014.771755,14,0.0,0.0,0.0,Künstlerische Depression
7INwwtIuUItZpkJIc1gIXC,False,1663502014.771755,15,0.0,0.0,0.0,Autorität
3YlZ1rnHa5k7Ss6YNXGOgm,False,1663502014.771755,16,0.0,0.0,0.0,Barbarische Wochen
0s2U9vofHKUvyYMFH5slvJ,False,1663502014.771755,17,0.0,0.0,0.0,Unsere alte Scheißwelt
0QXdxczVpd9HXMrdOxnWAD,False,1663502014.771755,18,0.0,0.0,0.0,Die blaue Stunde
2UG28bLA6X1h5hHYfvrT3R,False,1663502014.771755,19,0.0,0.0,0.0,Die große Erleichterung
0L26be58CiourngBgpCLn6,False,1663502014.771755,20,0.0,0.0,0.0,Weltraum & Mee(h)r
4EzH6UAVHzxoKXQ74bzdZo,False,1663502014.771755,21,0.0,0.0,0.0,Global Warning
5Tw6LRzhEWJ18le5oMXp1p,False,1663502014.771755,22,0.0,0.0,0.0,Marzipankartoffeln
5eRTckU7pPjLja8cF9RkFe,False,1663502014.771755,23,0.0,0.0,0.0,Das Leben ist ne Ratte
7oHaasIea4lcGAjU2HhO4t,False,1663502014.771755,24,0.0,0.0,0.0,The Show must go on
3OKjBD6sKGJL3GkJSNNYKp,False,1663502014.771755,25,0.0,0.0,0.0,Sex and Gags
2dPXVMta8D0CS97DQsmupR,False,1663502014.771755,26,0.0,0.0,0.0,Liebeskummersendung
4HbhwQA3Nr8q4EKMH1CVgM,False,1663502014.771755,27,0.0,0.0,0.0,Altern und Würde
5gS6ID7ZdJkm1v4tMxVeFD,False,1663502014.771755,28,0.0,0.0,0.0,Runterfahren
3AvZesh8y4utXRyVWGMLuN,False,1663502014.771755,29,0.0,0.0,0.0,Die Baustelle des Lebens
3wpgWLOE7xUNLwhLDdUB5Z,False,1663502014.771755,30,0.0,0.0,0.0,Die Notsendung
46XY2NG5mxNvk0kWNXibmD,False,1663502014.771755,31,0.0,0.0,0.0,1000 ganz legale Steuertricks (Gib dem Hass eine Chance)
0RXYcsEafooB4yn89eui2z,False,1663502014.771755,32,0.0,0.0,0.0,Der große Sonntagsspaziergang
0b6BDbeJ2u7dylXdXKW7JG,False,1663502014.771755,33,0.0,0.0,0.0,Bundesversammlung
3TtaANbVgsrsEPN5OtVAwS,False,1663502014.771755,34,0.0,0.0,0.0,Konsequenzen
4Zn4TzTiXcMYYvlIACB9B7,False,1663502014.771755,35,0.0,0.0,0.0,Der Preis des Lebens
45OWajGpRvpt5mUsSd7e81,False,1663502014.771755,36,0.0,0.0,0.0,Das Leben ist ein Comic
4Zjfzjw7EqiZz6LlWEZLEZ,False,1663502014.771755,37,0.0,0.0,0.0,Dicker Wurm am Haken
5KoqVPiuDSgc5HPQFqpM2h,False,1663502014.771755,38,0.0,0.0,0.0,Ordnung ist das halbe Leben
2bdVBYjL4IJhrS1sy8Pf6N,False,1663502014.771755,39,0.0,0.0,0.0,Honig im Tee
2Vp3KF5D1VRPpQMg7acwaf,False,1663502014.771755,40,0.0,0.0,0.0,Karriereknick
3sgNPFUHTao9FiV1WgzfPv,False,1663502014.771755,41,0.0,0.0,0.0,Gehacked
